date,Zone 1 People (person),Zone 2 People (person),Zone 3 People (person),Total People (person),Temperature,Rh,Zone 1 CO2 Setpoint (ppm),Zone 2 CO2 Setpoint (ppm),Zone 3 CO2 Setpoint (ppm),Zone 1 Temperature Setpoint (degree C),Zone 2 Temperature Setpoint (degree C),Zone 3 Temperature Setpoint (degree C)
10/24/2019 0:00,0,0,0,0,7.699999809,70,651.306661,645.3942871,626.8800049,21.47000027,21.26000023,21.00425538
10/24/2019 1:00,0,0,0,0,7.699999809,70,630.2719971,632.2133382,613.5466512,21.47000027,21.26000023,21.00425538
10/24/2019 2:00,0,0,0,0,8.199999809,70,631.4880127,643.9466756,609.0311076,21.47000027,21.26000023,21.00425538
10/24/2019 3:00,0,0,0,0,7.699999809,70,625.8559937,650.8800049,605.7600098,21.47000027,21.26000023,21.00425538
10/24/2019 4:00,0,0,0,0,7.199999809,70,619.0171422,658.2399902,603.3600006,21.47000027,21.26000023,21.00425538
10/24/2019 5:00,0,0,0,0,7.199999809,70,619.1200104,652.1600037,598.8800049,21.47000027,21.26000023,21.00425538
10/24/2019 6:00,1,0,0,1,6.699999809,70,630.3999939,678.0800018,602.9257028,21.47000027,21.15999985,21.00425538
10/24/2019 7:00,1,0,1,2,6.699999809,70,681.4117683,725.352736,961.0422852,21.31999969,21.29333369,21.00425538
10/24/2019 8:00,1,0,0,1,7.449999809,70,600.4053385,597.082358,620.8799988,20.63666662,20.53142861,21.00425538
10/24/2019 9:00,3,0,1,4,8.199999809,70,673.1428571,655.5199992,646.400007,21.05000019,20.84000015,21.00425538
10/24/2019 10:00,3,0,1,4,9.240000089,70,690.011431,702.7200012,690.9257115,21.20000076,21,21.00425538
10/24/2019 11:00,3,0,1,4,9.240000089,70,679.7599945,679.2533366,681.6914237,21.31999969,21.15000057,21.00425538
10/24/2019 12:00,3,0,1,4,10.5250001,70,629.6533356,650.1399994,645.3257141,21.15999985,21.05000019,20.9423914
10/24/2019 13:00,4,0,0,4,11.28999996,70,537.3600006,542.6666616,551.9644504,20.94999981,21.05000019,20.9423914
10/24/2019 14:00,3,0,0,3,11.28999996,70,495.840004,499.8399963,490.8800049,20.79999924,20.89999962,20.9423914
10/24/2019 15:00,3,0,0,3,11.28999996,70,578.3999964,611.5781916,551.0666733,20.89999962,20.89999962,20.9423914
10/24/2019 16:00,2,0,1,3,11.28999996,70,681.6000163,713.3257098,663.862854,21.05000019,21,20.9423914
10/24/2019 17:00,2,0,1,3,11.28999996,70,614.7911106,629.3818248,636.9722994,21,21,20.9423914
10/24/2019 18:00,1,2,1,4,11.28999996,70,592.9244385,629.4199982,540.5999985,21.05000019,21.32000046,20.9423914
10/24/2019 19:00,1,2,1,4,10.77999973,70,790.429091,738.239997,698.4380958,21.44000015,21.81714303,20.9423914
10/24/2019 20:00,1,2,1,4,10.77999973,70,979.469476,948.4553856,897.600001,21.68000031,21.84000015,20.9423914
10/24/2019 21:00,1,0,0,1,10.77999973,70,927.9326236,1005.727997,949.0400047,21.84000015,21.84000015,20.9423914
10/24/2019 22:00,1,0,1,2,10.77999973,70,754.5600023,780.4266663,832.9309138,21.84000015,21.73999977,20.9423914
10/24/2019 23:00,1,0,0,1,10.77999973,70,688.6399885,675.0079956,703.3600028,21.63999939,21.57999992,20.9423914
10/25/2019 0:00,1,0,0,1,11.28999996,70,668.4799805,649.8133341,674.702223,21.63999939,21.57999992,20.9423914
10/25/2019 1:00,1,0,0,1,11.28999996,70,620.2399979,608.9599998,632.7314366,21.16285678,21.17999967,20.9423914
10/25/2019 2:00,1,0,0,1,10.77999973,70,625.3866781,592.8800049,606.7199707,21.18000031,21.21000004,20.9423914
10/25/2019 3:00,1,0,0,1,10.27000046,70,622.7599945,619.1199951,625.6000061,21.34000015,21.21000004,20.9423914
10/25/2019 4:00,1,0,0,1,10.27000046,70,649.6,624.3999939,625.4079956,21.34000015,21.21000004,20.9423914
10/25/2019 5:00,1,0,0,1,10.77999973,70,647.7866618,640.3199768,637.4400024,21.23999977,21.21000004,20.9423914
10/25/2019 6:00,1,0,0,1,10.77999973,70,648.5599976,632.2133382,640.2133382,21.23999977,21.15999985,20.9423914
10/25/2019 7:00,1,0,0,1,10.77999973,70,730.965332,725.4964636,855.220005,21.28999996,21.31999969,20.9423914
10/25/2019 8:00,2,1,0,3,11.28999996,70,678.2769212,704.4533361,701.1200015,20.88499999,21.36285727,20.9423914
10/25/2019 9:00,3,0,0,3,11.80000019,70,671.0933533,716,677.2266642,21.10000038,21.36285727,20.9423914
10/25/2019 10:00,4,1,0,5,12.81000042,70,731.7599869,729.3439941,710.8266602,21.20000076,21.36285727,20.9423914
10/25/2019 11:00,4,1,0,5,12.81000042,70,759.9127308,767.360002,783.7672674,21.10000038,21.26000023,20.9423914
10/25/2019 12:00,4,0,0,4,13.81000042,70,737.4720032,745.1199875,831.1579044,21,21.10999966,21.13624994
10/25/2019 13:00,3,0,0,3,13.31000042,70,640.5973348,638.9333394,647.7741161,20.84999943,20.95999908,21.13624994
10/25/2019 14:00,4,0,0,4,12.81000042,70,513.1200027,505.5999985,509.0559937,20.84999943,20.84000015,21.13624994
